Id|Credits|CreditAmount|CareerId|CourseId|LastModified|Created|Status
1|3.00|10.00|1|1|2018-07-12 23:10:34.136101|2018-07-12 23:10:34.136101|t
2|3.00|10.00|1|2|2018-07-12 23:10:34.137634|2018-07-12 23:10:34.137634|t
3|3.00|10.00|1|3|2018-07-12 23:10:34.138627|2018-07-12 23:10:34.138627|t
4|3.00|10.00|1|4|2018-07-12 23:10:34.139523|2018-07-12 23:10:34.139523|t
5|3.00|10.00|1|5|2018-07-12 23:10:34.140328|2018-07-12 23:10:34.140328|t
6|3.00|10.00|1|6|2018-07-12 23:10:34.141284|2018-07-12 23:10:34.141284|t
7|3.00|10.00|1|7|2018-07-12 23:10:34.142228|2018-07-12 23:10:34.142228|t
8|3.00|10.00|1|8|2018-07-12 23:10:34.143137|2018-07-12 23:10:34.143137|t
9|3.00|10.00|1|9|2018-07-12 23:10:34.144474|2018-07-12 23:10:34.144474|t
10|3.00|10.00|1|10|2018-07-12 23:10:34.145446|2018-07-12 23:10:34.145446|t
11|3.00|10.00|1|11|2018-07-12 23:10:34.146266|2018-07-12 23:10:34.146266|t
12|3.00|10.00|1|12|2018-07-12 23:10:34.152466|2018-07-12 23:10:34.152466|t
13|3.00|10.00|1|13|2018-07-12 23:10:34.153779|2018-07-12 23:10:34.153779|t
14|3.00|10.00|1|14|2018-07-12 23:10:34.154678|2018-07-12 23:10:34.154678|t
15|3.00|10.00|1|15|2018-07-12 23:10:34.155532|2018-07-12 23:10:34.155532|t
16|3.00|10.00|1|16|2018-07-12 23:10:34.156318|2018-07-12 23:10:34.156318|t
17|3.00|10.00|1|17|2018-07-12 23:10:34.15706|2018-07-12 23:10:34.15706|t
18|3.00|10.00|1|18|2018-07-12 23:10:34.157798|2018-07-12 23:10:34.157798|t
19|3.00|10.00|1|19|2018-07-12 23:10:34.158614|2018-07-12 23:10:34.158614|t
20|3.00|10.00|1|20|2018-07-12 23:10:34.159382|2018-07-12 23:10:34.159382|t
21|3.00|10.00|1|21|2018-07-12 23:10:34.16012|2018-07-12 23:10:34.16012|t
22|3.00|10.00|1|22|2018-07-12 23:10:34.161624|2018-07-12 23:10:34.161624|t
23|3.00|10.00|1|23|2018-07-12 23:10:34.162495|2018-07-12 23:10:34.162495|t
24|3.00|10.00|1|24|2018-07-12 23:10:34.163255|2018-07-12 23:10:34.163255|t
