Id|Description|CareerId|PeriodId|ModuleId|LastModified|Created|Status
1|2018 I, Administración de Negocios Internacionales, Ciclo I|1|1|1|2018-07-12 23:10:34.482179|2018-07-12 23:10:34.482179|t
2|2018 I, Administración de Negocios Internacionales, Ciclo II|1|1|2|2018-07-12 23:10:34.484394|2018-07-12 23:10:34.484394|t
3|2018 I, Administración de Negocios Internacionales, Ciclo III|1|1|3|2018-07-12 23:10:34.485528|2018-07-12 23:10:34.485528|t
4|2018 I, Administración de Negocios Internacionales, Ciclo IV|1|1|4|2018-07-12 23:10:34.486613|2018-07-12 23:10:34.486613|t
5|2018 I, Administración de Negocios Internacionales, Ciclo V|1|1|5|2018-07-12 23:10:34.487639|2018-07-12 23:10:34.487639|t
6|2018 I, Administración de Negocios Internacionales, Ciclo VI|1|1|6|2018-07-12 23:10:34.488594|2018-07-12 23:10:34.488594|t
7|2018 I, Contabilidad, Ciclo I|2|1|1|2018-07-12 23:10:34.489634|2018-07-12 23:10:34.489634|t
8|2018 I, Contabilidad, Ciclo II|2|1|2|2018-07-12 23:10:34.490473|2018-07-12 23:10:34.490473|t
9|2018 I, Contabilidad, Ciclo III|2|1|3|2018-07-12 23:10:34.491281|2018-07-12 23:10:34.491281|t
10|2018 I, Contabilidad, Ciclo IV|2|1|4|2018-07-12 23:10:34.492006|2018-07-12 23:10:34.492006|t
11|2018 I, Contabilidad, Ciclo V|2|1|5|2018-07-12 23:10:34.492957|2018-07-12 23:10:34.492957|t
12|2018 I, Contabilidad, Ciclo VI|2|1|6|2018-07-12 23:10:34.494673|2018-07-12 23:10:34.494673|t
13|2018 I, Maestría en Administración de Negocios, Ciclo I|3|1|1|2018-07-12 23:10:34.495619|2018-07-12 23:10:34.495619|t
14|2018 I, Maestría en Administración de Negocios, Ciclo II|3|1|2|2018-07-12 23:10:34.496625|2018-07-12 23:10:34.496625|t
15|2018 I, Maestría en Gestión de Tecnologías de la Información, Ciclo I|4|1|1|2018-07-12 23:10:34.497441|2018-07-12 23:10:34.497441|t
16|2018 I, Maestría en Gestión de Tecnologías de la Información, Ciclo II|4|1|2|2018-07-12 23:10:34.498264|2018-07-12 23:10:34.498264|t
17|2018 I, Maestría en Derecho de la Empresa, Ciclo I|5|1|1|2018-07-12 23:10:34.499096|2018-07-12 23:10:34.499096|t
18|2018 I, Maestría en Derecho de la Empresa, Ciclo II|5|1|2|2018-07-12 23:10:34.499915|2018-07-12 23:10:34.499915|t
19|2018 I, Maestría en Gestión Minera y Ambiental, Ciclo I|6|1|1|2018-07-12 23:10:34.500747|2018-07-12 23:10:34.500747|t
20|2018 I, Maestría en Gestión Minera y Ambiental, Ciclo II|6|1|2|2018-07-12 23:10:34.5077|2018-07-12 23:10:34.5077|t
