Id|StartTime|EndTime|Day|CareerScheduleId|ClassRoomId|SpeakerId|CareerDetailId|LastModified|Created|Status
1|08:00:00|10:00:00|Mon|1|1|1|1|2018-07-12 23:10:34.514398|2018-07-12 23:10:34.514398|t
2|10:00:00|12:00:00|Mon|1|2|2|2|2018-07-12 23:10:34.516671|2018-07-12 23:10:34.516671|t
3|12:00:00|14:00:00|Mon|1|3|3|3|2018-07-12 23:10:34.517848|2018-07-12 23:10:34.517848|t
4|08:00:00|10:00:00|Tue|1|4|4|4|2018-07-12 23:10:34.5189|2018-07-12 23:10:34.5189|t
5|10:00:00|12:00:00|Tue|1|5|5|5|2018-07-12 23:10:34.519942|2018-07-12 23:10:34.519942|t
6|12:00:00|14:00:00|Tue|1|1|6|6|2018-07-12 23:10:34.521032|2018-07-12 23:10:34.521032|t
7|08:00:00|10:00:00|Wed|1|2|7|7|2018-07-12 23:10:34.522127|2018-07-12 23:10:34.522127|t
8|10:00:00|12:00:00|Wed|1|1|1|1|2018-07-12 23:10:34.522982|2018-07-12 23:10:34.522982|t
9|12:00:00|14:00:00|Wed|1|2|2|2|2018-07-12 23:10:34.523788|2018-07-12 23:10:34.523788|t
10|08:00:00|10:00:00|Thu|1|3|3|3|2018-07-12 23:10:34.524597|2018-07-12 23:10:34.524597|t
11|10:00:00|12:00:00|Thu|1|4|4|4|2018-07-12 23:10:34.52542|2018-07-12 23:10:34.52542|t
12|12:00:00|14:00:00|Thu|1|5|5|5|2018-07-12 23:10:34.52632|2018-07-12 23:10:34.52632|t
13|08:00:00|10:00:00|Fri|1|1|6|6|2018-07-12 23:10:34.527734|2018-07-12 23:10:34.527734|t
14|10:00:00|12:00:00|Fri|1|2|7|7|2018-07-12 23:10:34.5287|2018-07-12 23:10:34.5287|t
15|12:00:00|14:00:00|Fri|1|1|1|1|2018-07-12 23:10:34.529521|2018-07-12 23:10:34.529521|t
16|08:00:00|10:00:00|Mon|2|1|8|8|2018-07-12 23:10:34.530402|2018-07-12 23:10:34.530402|t
17|10:00:00|12:00:00|Mon|2|2|9|9|2018-07-12 23:10:34.531247|2018-07-12 23:10:34.531247|t
18|12:00:00|14:00:00|Mon|2|3|10|10|2018-07-12 23:10:34.53207|2018-07-12 23:10:34.53207|t
19|08:00:00|10:00:00|Tue|2|4|11|11|2018-07-12 23:10:34.533949|2018-07-12 23:10:34.533949|t
20|10:00:00|12:00:00|Tue|2|5|12|12|2018-07-12 23:10:34.539258|2018-07-12 23:10:34.539258|t
21|12:00:00|14:00:00|Tue|2|1|13|13|2018-07-12 23:10:34.541291|2018-07-12 23:10:34.541291|t
22|08:00:00|10:00:00|Wed|2|2|14|14|2018-07-12 23:10:34.542225|2018-07-12 23:10:34.542225|t
23|10:00:00|12:00:00|Wed|2|1|8|8|2018-07-12 23:10:34.543079|2018-07-12 23:10:34.543079|t
24|12:00:00|14:00:00|Wed|2|2|9|9|2018-07-12 23:10:34.544599|2018-07-12 23:10:34.544599|t
25|08:00:00|10:00:00|Thu|2|3|10|10|2018-07-12 23:10:34.545563|2018-07-12 23:10:34.545563|t
26|10:00:00|12:00:00|Thu|2|4|11|11|2018-07-12 23:10:34.546449|2018-07-12 23:10:34.546449|t
