Id|Code|Description|BackgroundColor|LastModified|Created|Status
1|UC-0001|Administración I|#ff4000|2018-07-12 23:10:33.979394|2018-07-12 23:10:33.979394|t
2|UC-0002|Economía|#ff8000|2018-07-12 23:10:33.980554|2018-07-12 23:10:33.980554|t
3|UC-0003|Contabilidad I|#ffbf00|2018-07-12 23:10:33.981388|2018-07-12 23:10:33.981388|t
4|UC-0004|Matemática I|#ffff00|2018-07-12 23:10:33.982226|2018-07-12 23:10:33.982226|t
5|UC-0005|Computación I|#bfff00|2018-07-12 23:10:33.983012|2018-07-12 23:10:33.983012|t
6|UC-0006|Comunicación I|#80ff00|2018-07-12 23:10:33.98386|2018-07-12 23:10:33.98386|t
7|UC-0007|EFSRT I|#40ff00|2018-07-12 23:10:33.98463|2018-07-12 23:10:33.98463|t
8|UC-0008|Administración II|#00ff00|2018-07-12 23:10:33.985373|2018-07-12 23:10:33.985373|t
9|UC-0009|Microeconomía|#00ff40|2018-07-12 23:10:33.9861|2018-07-12 23:10:33.9861|t
10|UC-0010|Contabilidad II|#00ff80|2018-07-12 23:10:33.986911|2018-07-12 23:10:33.986911|t
11|UC-0011|Matemática II|#00ffbf|2018-07-12 23:10:33.987791|2018-07-12 23:10:33.987791|t
12|UC-0012|Computación II|#00ffff|2018-07-12 23:10:33.988572|2018-07-12 23:10:33.988572|t
13|UC-0013|Comunicación II|#00bfff|2018-07-12 23:10:33.995482|2018-07-12 23:10:33.995482|t
14|UC-0014|EFSRT II|#0080ff|2018-07-12 23:10:33.996504|2018-07-12 23:10:33.996504|t
15|UC-0015|Legislación Empresarial|#0040ff|2018-07-12 23:10:33.997309|2018-07-12 23:10:33.997309|t
16|UC-0016|Macroeconomía|#0000ff|2018-07-12 23:10:33.998062|2018-07-12 23:10:33.998062|t
17|UC-0017|Costos|#4000ff|2018-07-12 23:10:33.998845|2018-07-12 23:10:33.998845|t
18|UC-0018|Matemática Financiera|#8000ff|2018-07-12 23:10:33.999603|2018-07-12 23:10:33.999603|t
19|UC-0019|Negocios Internacionales|#bf00ff|2018-07-12 23:10:34.000297|2018-07-12 23:10:34.000297|t
20|UC-0020|Desarrollo Personal|#ff00ff|2018-07-12 23:10:34.001002|2018-07-12 23:10:34.001002|t
21|UC-0021|EFSRT III|#ff00bf|2018-07-12 23:10:34.001693|2018-07-12 23:10:34.001693|t
22|UC-0022|Presupuestos|#ff0080|2018-07-12 23:10:34.002404|2018-07-12 23:10:34.002404|t
23|UC-0023|Finanzas|#ff0040|2018-07-12 23:10:34.003118|2018-07-12 23:10:34.003118|t
24|UC-0024|Marketing|#ff0000|2018-07-12 23:10:34.003917|2018-07-12 23:10:34.003917|t
25|UC-0025|Logística|#ff4000|2018-07-12 23:10:34.004715|2018-07-12 23:10:34.004715|t
26|UC-0026|Estadística I|#ff8000|2018-07-12 23:10:34.005419|2018-07-12 23:10:34.005419|t
