Id|Total|StudentId|LastModified|Created|Status
1|210.00|1|2018-07-12 23:10:34.879012|2018-07-12 23:10:34.879012|t
2|210.00|2|2018-07-12 23:10:34.880209|2018-07-12 23:10:34.880209|t
3|210.00|3|2018-07-12 23:10:34.881015|2018-07-12 23:10:34.881015|t
4|210.00|4|2018-07-12 23:10:34.881816|2018-07-12 23:10:34.881816|t
5|210.00|5|2018-07-12 23:10:34.882623|2018-07-12 23:10:34.882623|t
6|180.00|6|2018-07-12 23:10:34.883389|2018-07-12 23:10:34.883389|t
7|180.00|7|2018-07-12 23:10:34.884189|2018-07-12 23:10:34.884189|t
8|180.00|8|2018-07-12 23:10:34.884922|2018-07-12 23:10:34.884922|t
9|180.00|9|2018-07-12 23:10:34.88567|2018-07-12 23:10:34.88567|t
10|180.00|10|2018-07-12 23:10:34.886418|2018-07-12 23:10:34.886418|t
11|180.00|11|2018-07-12 23:10:34.887159|2018-07-12 23:10:34.887159|t
12|150.00|12|2018-07-12 23:10:34.887905|2018-07-12 23:10:34.887905|t
13|240.00|13|2018-07-12 23:10:34.88863|2018-07-12 23:10:34.88863|t
14|240.00|14|2018-07-12 23:10:34.889366|2018-07-12 23:10:34.889366|t
15|300.00|15|2018-07-12 23:10:34.89018|2018-07-12 23:10:34.89018|t
16|210.00|16|2018-07-12 23:10:34.890926|2018-07-12 23:10:34.890926|t
17|300.00|17|2018-07-12 23:10:34.891804|2018-07-12 23:10:34.891804|t
18|210.00|18|2018-07-12 23:10:34.892652|2018-07-12 23:10:34.892652|t
19|300.00|19|2018-07-12 23:10:34.893725|2018-07-12 23:10:34.893725|t
20|210.00|20|2018-07-12 23:10:34.894598|2018-07-12 23:10:34.894598|t
21|210.00|21|2018-07-12 23:10:34.895333|2018-07-12 23:10:34.895333|t
22|210.00|22|2018-07-12 23:10:34.896077|2018-07-12 23:10:34.896077|t
23|210.00|23|2018-07-12 23:10:34.896825|2018-07-12 23:10:34.896825|t
24|210.00|24|2018-07-12 23:10:34.903597|2018-07-12 23:10:34.903597|t
25|210.00|25|2018-07-12 23:10:34.905253|2018-07-12 23:10:34.905253|t
26|180.00|26|2018-07-12 23:10:34.906073|2018-07-12 23:10:34.906073|t
27|180.00|27|2018-07-12 23:10:34.906905|2018-07-12 23:10:34.906905|t
28|180.00|28|2018-07-12 23:10:34.908879|2018-07-12 23:10:34.908879|t
29|180.00|29|2018-07-12 23:10:34.909929|2018-07-12 23:10:34.909929|t
30|180.00|30|2018-07-12 23:10:34.910902|2018-07-12 23:10:34.910902|t
31|180.00|31|2018-07-12 23:10:34.911723|2018-07-12 23:10:34.911723|t
32|150.00|32|2018-07-12 23:10:34.912491|2018-07-12 23:10:34.912491|t
33|240.00|33|2018-07-12 23:10:34.913283|2018-07-12 23:10:34.913283|t
34|240.00|34|2018-07-12 23:10:34.913978|2018-07-12 23:10:34.913978|t
35|300.00|35|2018-07-12 23:10:34.914737|2018-07-12 23:10:34.914737|t
36|210.00|36|2018-07-12 23:10:34.915595|2018-07-12 23:10:34.915595|t
37|300.00|37|2018-07-12 23:10:34.916346|2018-07-12 23:10:34.916346|t
38|210.00|38|2018-07-12 23:10:34.917069|2018-07-12 23:10:34.917069|t
39|300.00|39|2018-07-12 23:10:34.917756|2018-07-12 23:10:34.917756|t
40|210.00|40|2018-07-12 23:10:34.91845|2018-07-12 23:10:34.91845|t
