CareerDetailId|EnrollmentId|Discount|Total|LastModified|Created|Status
1|1|0.00|30.00|2018-07-12 23:10:34.923004|2018-07-12 23:10:34.923004|t
2|1|0.00|30.00|2018-07-12 23:10:34.924647|2018-07-12 23:10:34.924647|t
3|1|0.00|30.00|2018-07-12 23:10:34.925678|2018-07-12 23:10:34.925678|t
4|1|0.00|30.00|2018-07-12 23:10:34.927498|2018-07-12 23:10:34.927498|t
5|1|0.00|30.00|2018-07-12 23:10:34.92865|2018-07-12 23:10:34.92865|t
6|1|0.00|30.00|2018-07-12 23:10:34.935376|2018-07-12 23:10:34.935376|t
7|1|0.00|30.00|2018-07-12 23:10:34.9407|2018-07-12 23:10:34.9407|t
8|2|0.00|30.00|2018-07-12 23:10:34.941877|2018-07-12 23:10:34.941877|t
9|2|0.00|30.00|2018-07-12 23:10:34.942824|2018-07-12 23:10:34.942824|t
10|2|0.00|30.00|2018-07-12 23:10:34.944315|2018-07-12 23:10:34.944315|t
11|2|0.00|30.00|2018-07-12 23:10:34.946585|2018-07-12 23:10:34.946585|t
12|2|0.00|30.00|2018-07-12 23:10:34.947291|2018-07-12 23:10:34.947291|t
13|2|0.00|30.00|2018-07-12 23:10:34.947972|2018-07-12 23:10:34.947972|t
14|2|0.00|30.00|2018-07-12 23:10:34.948609|2018-07-12 23:10:34.948609|t
15|3|0.00|30.00|2018-07-12 23:10:34.949223|2018-07-12 23:10:34.949223|t
16|3|0.00|30.00|2018-07-12 23:10:34.949848|2018-07-12 23:10:34.949848|t
17|3|0.00|30.00|2018-07-12 23:10:34.950464|2018-07-12 23:10:34.950464|t
18|3|0.00|30.00|2018-07-12 23:10:34.951087|2018-07-12 23:10:34.951087|t
19|3|0.00|30.00|2018-07-12 23:10:34.951705|2018-07-12 23:10:34.951705|t
20|3|0.00|30.00|2018-07-12 23:10:34.952309|2018-07-12 23:10:34.952309|t
21|3|0.00|30.00|2018-07-12 23:10:34.952933|2018-07-12 23:10:34.952933|t
