Id|Credits|CreditAmount|CareerId|CourseId|LastModified|Created|Status
1|3.00|10.00|1|1|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
2|3.00|10.00|1|2|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
3|3.00|10.00|1|3|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
4|3.00|10.00|1|4|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
5|3.00|10.00|1|5|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
6|3.00|10.00|1|6|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
7|3.00|10.00|1|7|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
8|3.00|10.00|1|8|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
9|3.00|10.00|1|9|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
10|3.00|10.00|1|10|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
11|3.00|10.00|1|11|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
12|3.00|10.00|1|12|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
13|3.00|10.00|1|13|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
14|3.00|10.00|1|14|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
15|3.00|10.00|1|15|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
16|3.00|10.00|1|16|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
17|3.00|10.00|1|17|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
18|3.00|10.00|1|18|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
19|3.00|10.00|1|19|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
20|3.00|10.00|1|20|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
21|3.00|10.00|1|21|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
22|3.00|10.00|1|22|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
23|3.00|10.00|1|23|2018-07-08 19:57:43.000|2018-07-08 19:57:43.000|1
