Id|StartTime|EndTime|Day|CareerScheduleId|ClassRoomId|SpeakerId|CareerDetailId|LastModified|Created|Status
1|08:00:00.0000000|10:00:00.0000000|Mon|1|1|1|1|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
2|10:00:00.0000000|12:00:00.0000000|Mon|1|2|2|2|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
3|12:00:00.0000000|14:00:00.0000000|Mon|1|3|3|3|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
4|08:00:00.0000000|10:00:00.0000000|Tue|1|4|4|4|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
5|10:00:00.0000000|12:00:00.0000000|Tue|1|5|5|5|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
6|12:00:00.0000000|14:00:00.0000000|Tue|1|1|6|6|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
7|08:00:00.0000000|10:00:00.0000000|Wed|1|2|7|7|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
8|10:00:00.0000000|12:00:00.0000000|Wed|1|1|1|1|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
9|12:00:00.0000000|14:00:00.0000000|Wed|1|2|2|2|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
10|08:00:00.0000000|10:00:00.0000000|Thu|1|3|3|3|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
11|10:00:00.0000000|12:00:00.0000000|Thu|1|4|4|4|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
12|12:00:00.0000000|14:00:00.0000000|Thu|1|5|5|5|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
13|08:00:00.0000000|10:00:00.0000000|Fri|1|1|6|6|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
14|10:00:00.0000000|12:00:00.0000000|Fri|1|2|7|7|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
15|12:00:00.0000000|14:00:00.0000000|Fri|1|1|1|1|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
16|08:00:00.0000000|10:00:00.0000000|Mon|2|1|8|8|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
17|10:00:00.0000000|12:00:00.0000000|Mon|2|2|9|9|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
18|12:00:00.0000000|14:00:00.0000000|Mon|2|3|10|10|2018-07-08 19:57:46.000|2018-07-08 19:57:46.000|1
